[2026-02-12 21:44:34,800] INFO django.server "GET /admin/auth/user/ HTTP/1.1" 200 11394
[2026-02-12 21:44:34,844] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 21:44:35,843] INFO django.server "GET /admin/auth/user/3/change/ HTTP/1.1" 200 21417
[2026-02-12 21:44:35,883] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 21:44:48,631] INFO api 用户登录: admin
[2026-02-12 21:44:48,632] INFO django.server "POST /api/login/ HTTP/1.1" 200 99
[2026-02-12 21:44:48,644] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:44:49,820] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 196
[2026-02-12 21:44:49,822] INFO django.server "GET /api/logs/ HTTP/1.1" 200 356
[2026-02-12 21:44:49,831] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:44:49,832] INFO django.server "GET /api/users/ HTTP/1.1" 200 307
[2026-02-12 21:44:49,842] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:46:04,397] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:46:04,408] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:46:08,278] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:46:08,288] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:46:08,749] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 196
[2026-02-12 21:46:08,751] INFO django.server "GET /api/logs/ HTTP/1.1" 200 356
[2026-02-12 21:46:08,760] INFO django.server "GET /api/users/ HTTP/1.1" 200 307
[2026-02-12 21:46:08,761] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:46:08,772] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:46:42,692] INFO django.server "OPTIONS /api/enroll/ HTTP/1.1" 200 0
[2026-02-12 21:46:43,122] INFO api 声纹注册成功: admin, 3 条音频
[2026-02-12 21:46:43,123] INFO django.server "POST /api/enroll/ HTTP/1.1" 200 50
[2026-02-12 21:46:51,214] INFO django.server "OPTIONS /api/verify/ HTTP/1.1" 200 0
[2026-02-12 21:46:51,313] INFO api 声纹验证: admin score=0.9797 => ACCEPT
[2026-02-12 21:46:51,315] INFO django.server "POST /api/verify/ HTTP/1.1" 200 88
[2026-02-12 21:46:56,574] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 339
[2026-02-12 21:46:56,576] INFO django.server "GET /api/logs/ HTTP/1.1" 200 645
[2026-02-12 21:46:56,577] INFO django.server "GET /api/users/ HTTP/1.1" 200 306
[2026-02-12 21:46:56,578] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:46:56,590] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:47:11,790] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 339
[2026-02-12 21:47:11,792] INFO django.server "GET /api/logs/ HTTP/1.1" 200 645
[2026-02-12 21:47:11,802] INFO django.server "GET /api/users/ HTTP/1.1" 200 306
[2026-02-12 21:47:11,803] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:47:11,815] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:48:27,835] INFO django.server "GET /api/me/ HTTP/1.1" 200 119
[2026-02-12 21:48:27,847] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 340
[2026-02-12 21:48:45,123] INFO django.server "GET /api/logs/ HTTP/1.1" 200 645
[2026-02-12 21:48:45,132] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 339
[2026-02-12 21:48:45,137] INFO django.server "GET /api/users/ HTTP/1.1" 200 306
[2026-02-12 21:48:45,139] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:48:45,147] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 22:01:25,497] INFO django.server "OPTIONS /api/logs/ HTTP/1.1" 200 0
[2026-02-12 22:01:25,508] INFO django.server "OPTIONS /api/enroll-logs/ HTTP/1.1" 200 0
[2026-02-12 22:01:25,520] INFO django.server "GET /api/users/ HTTP/1.1" 200 306
[2026-02-12 22:01:25,530] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 22:01:25,534] INFO django.server "GET /api/logs/ HTTP/1.1" 200 950
[2026-02-12 22:01:25,535] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 484
[2026-02-12 22:01:25,552] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 22:01:26,855] INFO django.server "GET /api/me/ HTTP/1.1" 200 119
[2026-02-12 22:01:26,907] INFO django.server "GET /api/users/ HTTP/1.1" 200 306
